Code,Nationality,Link,Dish,Quality,Menu,IH,MC,Data Source,Origin,Count
17,Italian,http://www.yummly.com/recipe/Tomato_basil-Soup-My-Recipes_1?columns=undefined,Tomato_basil-Soup-My-Recipes_1,105%,Soup,Yes,Yes,,,1
18,Italian,http://www.yummly.com/recipe/Sun_dried-Tomato-And-Pesto-Torta-Epicurious?columns=undefined,Sun_dried-Tomato-And-Pesto-Torta-Epicurious,105%,Soup,Yes,Yes,,,1
19,Italian,http://www.yummly.com/recipe/Fusilli-with-pesto_-pancetta_-and-peas-329716?columns=undefined,Fusilli-with-pesto_-pancetta_-and-peas-329716,105%,Pasta,Yes,Yes,,,1
20,Italian,http://www.yummly.com/recipe/Individual-Dilled-Salmon-Pizzas-Recipezaar,Individual-Dilled-Salmon-Pizzas-Recipezaar,127%,Pizza,Yes,Yes,,,1
21,Italian,http://www.yummly.com/recipe/Mixed-Mushroom-Soup-Martha-Stewart-190685?columns=undefined,Mixed-Mushroom-Soup-Martha-Stewart-190685,105%,Soup,Yes,Yes,,,1
22,Italian,http://www.yummly.com/recipe/Barefoot-Contessa-Pork-Loin-_-Ina-Garten-Recipezaar,Barefoot-Contessa-Pork-Loin-_-Ina-Garten-Recipezaar,127%,Meat,Yes,Yes,,,1
23,Italian,http://www.yummly.com/recipe/Grill-Roasted-Tomato-Soup-with-Parmesan-Croutons-MyRecipes-214182?columns=undefined,Grill-Roasted-Tomato-Soup-with-Parmesan-Croutons-MyRecipes-214182,105%,Soup,Yes,Yes,,,1
24,Italian,http://www.yummly.com/recipe/Cannellini-And-Macaroni-Salad-With-Grilled-Tomatoes_-Basil_-And-Olives-Epicurious,Cannellini-And-Macaroni-Salad-With-Grilled-Tomatoes_-Basil_-And-Olives-Epicurious,127%,Pasta,Yes,Yes,,,1
25,Italian,http://www.yummly.com/recipe/White-Pizza-Or-Pizza-Blanca-Recipezaar?columns=4&position=186/216,White-Pizza-Or-Pizza-Blanca-Recipezaar,105%,Pizza,Yes,Yes,,,1
26,Italian,http://www.yummly.com/recipe/Yogurt-and-Brown-Sugar-Panna-Cotta-with-Grape-Gelee-Epicurious-52802?columns=undefined,Yogurt-and-Brown-Sugar-Panna-Cotta-with-Grape-Gelee-Epicurious-52802,105%,Dessert,No,No,,,1
27,Italian,http://www.yummly.com/recipe/Alfajores-Recipe-Chow-56631,Alfajores-Recipe-Chow-56632,127%,Dessert,No,No,,,1
28,Italian,http://www.yummly.com/recipe/Caramelized-Pear-Cannoli-with-Praline-Sauce-MyRecipes-241057?columns=4&position=294/324,Caramelized-Pear-Cannoli-with-Praline-Sauce-MyRecipes-241057,105%,Dessert,No,No,,,1
29,Italian,http://www.yummly.com/recipe/Barefoot-Contessa-Pasta-With-Sun-Dried-Tomatoes---Ina-Garten-Food_com-99187,Barefoot-Contessa-Pasta-With-Sun-Dried-Tomatoes---Ina-Garten-Food_com-99188,127%,Pasta,Yes,Yes,,,1
30,Italian,http://www.yummly.com/recipe/Flatbread-with-Pancetta_-Mozzarella_-and-Asparagus-MyRecipes-246219?columns=undefined,Flatbread-with-Pancetta_-Mozzarella_-and-Asparagus-MyRecipes-246219,105%,Pizza,Yes,Yes,,,1
31,Italian,http://www.yummly.com/recipe/Pizza-With-Sweet-Peppers-And-Mozzarella-My-Recipes,Pizza-With-Sweet-Peppers-And-Mozzarella-My-Recipes,105%,Pizza,Yes,No,,,1
32,Italian,http://www.yummly.com/recipe/Pork-Meatballs-Martha-Stewart-197768,Pork-Meatballs-Martha-Stewart-197769,127%,Meat,Yes,Yes,,,1
33,Italian,http://www.yummly.com/recipe/Low-Cal-Fettuccine-Alfredo-Food-Network-257812,Low-Cal-Fettuccine-Alfredo-Food-Network-257812,127%,Pasta,Yes,Yes,,,1
34,Italian,http://www.yummly.com/recipe/Fettuccine-Alfredo-Recipe-Chow-203893,Fettuccine-Alfredo-Recipe-Chow-203893,127%,Pasta,Yes,Yes,,,1
35,Italian,http://www.yummly.com/recipe/Panettone-_Italian-Christmas-Bread_-MyRecipes-216687?&columns=4&position=19/36,Panettone-_Italian-Christmas-Bread_-MyRecipes-216687,105%,Antipasto,Yes,No,,,1
36,Italian,http://www.yummly.com/recipe/Cappuccino-Brownies-with-White-Chocolate-Espresso-Sauce-Epicurious-49004?columns=undefined,Cappuccino-Brownies-with-White-Chocolate-Espresso-Sauce-Epicurious-49004,106%,Dessert,No,No,,,1
37,Italian,http://www.yummly.com/recipe/Cappuccino-Cheesecake-Epicurious?columns=undefined,Cappuccino-Cheesecake-Epicurious,106%,Dessert,No,No,,,1
38,Italian,http://www.yummly.com/recipe/Caprese-Salad-The-Pioneer-Woman-Cooks-_-Ree-Drummond-41155?columns=undefined,Caprese-Salad-The-Pioneer-Woman-Cooks-_-Ree-Drummond-41155,107%,Antipasto,Yes,No,,,1
39,Italian,http://www.yummly.com/recipe/Tuscan-Style-Potato-Soup-MyRecipes-212284?columns=undefined,Tuscan-Style-Potato-Soup-MyRecipes-212284,107%,Soup,Yes,Yes,,,1
40,Italian,http://www.yummly.com/recipe/Italian-cheesecake-346235?columns=4&position=213/216,Italian-cheesecake-346235,107%,Dessert,No,No,,,1
41,Italian,http://www.yummly.com/recipe/Italian-Fruitcakes-with-Frangelico-Chocolate-Sauce-Epicurious-50630?columns=4&position=171/180,Italian-Fruitcakes-with-Frangelico-Chocolate-Sauce-Epicurious-50630,107%,Dessert,No,No,,,1
42,Italian,http://www.yummly.com/recipe/Cappuccino-Brownies-Martha-Stewart_1?columns=undefined,Cappuccino-Brownies-Martha-Stewart_1,107%,Dessert,No,No,,,1
43,Italian,http://www.yummly.com/recipe/Chocolate-Panna-Cotta-Layer-Cake-Epicurious-53282?columns=undefined,Chocolate-Panna-Cotta-Layer-Cake-Epicurious-53282,107%,Dessert,No,No,,,1
44,Italian,http://www.yummly.com/recipe/Spaghetti-con-la-Sarde-Martha-Stewart?columns=undefined,Spaghetti-con-la-Sarde-Martha-Stewart,107%,Pasta,Yes,Yes,,,1
45,Italian,http://www.yummly.com/recipe/Roasted-Acorn-Squash-Salad-with-Warm-Goat-Cheese-Rounds-Martha-Stewart-192760?columns=undefined,Roasted-Acorn-Squash-Salad-with-Warm-Goat-Cheese-Rounds-Martha-Stewart-192760,107%,Vegetable,Yes,Yes,,,1
46,Italian,http://www.yummly.com/recipe/Bruschetta-My-Recipes_1?columns=4&position=32/36,Bruschetta-My-Recipes_1,108%,Antipasto,Yes,No,,,1
47,Italian,http://www.yummly.com/recipe/Farro-Risotto-with-Mushrooms-MyRecipes-212004?columns=undefined,Farro-Risotto-with-Mushrooms-MyRecipes-212004,108%,Side Dish,Yes,No,,,1
48,Italian,http://www.yummly.com/recipe/Cornbread-Focaccia-My-Recipes?columns=undefined,Cornbread-Focaccia-My-Recipes,108%,Pizza,Yes,Yes,,,1
49,Italian,http://www.yummly.com/recipe/Espresso_chocolate-Fudge-Epicurious?columns=undefined,Espresso_chocolate-Fudge-Epicurious,108%,Dessert,No,No,,,1
50,Italian,http://www.yummly.com/recipe/Cheesy-Italian-Bread-TasteOfHome?columns=undefined,Cheesy-Italian-Bread-TasteOfHome,108%,Antipasto,Yes,No,,,1
